Make,Model,Survival.Index,Damage.Index,Frequency.Score,Risk.Score,Total_Persons
MCDONNELL DOUGLAS,DC-9-87,0.9523809523809523,1.0,2.699471674829355e-05,0.31905571746264355,21.0
MCDONNELL DOUGLAS,DC10,0.9691358024691358,0.5,2.699471674829355e-05,0.16235377742737017,162.0
MCDONNELL DOUGLAS,MD 90-30,0.993006993006993,0.5,2.699471674829355e-05,0.1528053012122273,143.0
MCDONNELL DOUGLAS,MD-11F,1.0,0.55,0.0004178463164559564,0.16512535389493677,10.0
MCDONNELL DOUGLAS,MD-81,1.0,0.3,0.00018192844147968466,0.0900545785324439,51.0
MCDONNELL DOUGLAS,MD-90,1.0,0.7,2.699471674829355e-05,0.2100080984150245,172.0
MCDONNELL DOUGLAS,MD-90-30,1.0,0.7,2.699471674829355e-05,0.2100080984150245,70.0
MCDONNELL DOUGLAS,MD11,0.6136363636363636,0.6818181818181818,0.0007617430584254023,0.3593194320084367,38.0
MCDONNELL DOUGLAS,MD11 - F,0.6666666666666666,0.5,0.00039085159970766287,0.28345058881324564,6.0
MCDONNELL DOUGLAS,MD80,0.7004578903952537,0.6428571428571429,0.0004988304667008371,0.3128236358390516,908.0
MCDONNELL DOUGLAS,MD80 - 80,0.5,0.525,0.0005727800411873475,0.3576718340123562,250.0
MCDONNELL DOUGLAS,MD88,0.7969653428357952,0.45999999999999996,0.0004448410332042499,0.21934731517564324,488.0
MCDONNELL DOUGLAS,MD90,1.0,0.3,2.699471674829355e-05,0.09000809841502448,162.0
MCDONNELL DOUGLAS,MD90 - 30,1.0,0.7,2.699471674829355e-05,0.2100080984150245,166.0
MCDONNELL DOUGLAS AIRCRAFT CO,MD 88,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,337.0
MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,1.0,0.5666666666666667,0.00023591787497627176,0.1700707753624929,348.0
MCDONNELL DOUGLAS CORPORATION,MD 88,1.0,0.7,2.699471674829355e-05,0.2100080984150245,153.0
MITSUBISHI,MU 2B,0.0,0.7,2.699471674829355e-05,0.6100080984150245,7.0
MITSUBISHI,MU-2B-20,1.0,0.5,0.0002089231582279782,0.1500626769474684,5.0
MITSUBISHI,MU-2B-60,0.3333333333333333,0.7999999999999999,8.098415024488063e-05,0.50669096191174,9.0
MITSUBISHI,MU2B,0.0,1.0,8.098415024488063e-05,0.7000242952450734,10.0
MOONEY,M20,0.5714285714285714,0.7214285714285714,0.0003779260344761097,0.38797052066748566,27.0
MOONEY,M20B,0.4,0.7,0.00013497358374146774,0.4500404920751224,11.0
MOONEY,M20C,0.36046511627906974,0.758139534883721,0.0011607728201766224,0.4836040457995414,77.0
MOONEY,M20E,0.4642857142857143,0.7357142857142857,0.0009107857936836104,0.43527323573810506,50.0
MOONEY,M20F,0.5802469135802469,0.6962962962962962,0.0007288573522039257,0.3770087806624513,52.0
MOONEY,M20J,0.4576719576719577,0.7380952380952381,0.0018556008798738845,0.43891646862375056,116.0
MOONEY,M20K,0.2222222222222222,0.8333333333333334,0.0002429524507346419,0.5611839968463315,19.0
MOONEY,M20M,0.3888888888888889,0.7333333333333333,0.0004859049014692838,0.46459021591488525,29.0
MOONEY,M20R,0.5333333333333333,0.6866666666666666,0.0005598544759557943,0.39283462300945343,23.0
MOONEY AIRCRAFT CORP.,M20K,0.5769230769230769,0.723076923076923,0.000701862635455632,0.3863644049444828,38.0
MOONEY AIRCRAFT CORP.,M20S,0.6666666666666666,0.6999999999999998,8.098415024488063e-05,0.3433576285784068,5.0
MOONEY AIRPLANE CO INC,M20TN,0.7,0.7,0.0002699471674829355,0.3300809841502449,12.0
Maule,M-4,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,8.0
Maule,M-4-210C,0.5,0.7,5.39894334965871e-05,0.410016196830049,5.0
Maule,M-4-220C,0.3333333333333333,0.7999999999999999,8.098415024488063e-05,0.50669096191174,5.0
Maule,M-5,0.375,0.75,0.0001079788669931742,0.475032393660098,10.0
Maule,M-5-210C,1.0,0.7,0.00013497358374146774,0.21004049207512243,10.0
Maule,M-5-235C,0.8571428571428571,0.7,0.00018896301723805484,0.26719954604802854,16.0
Maule,M-6-235,0.625,0.7749999999999999,0.0001079788669931742,0.38253239366009795,9.0
Maule,M-7-235,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,6.0
Maule,M5,1.0,0.7,0.0001079788669931742,0.21003239366009793,5.0
Maule,M7,1.0,0.7,0.00018896301723805484,0.2100566889051714,9.0
Maule,MT-7-235,1.0,0.6999999999999998,8.098415024488063e-05,0.21002429524507346,5.0
Maule,MX7,1.0,0.7,0.00013497358374146774,0.21004049207512243,7.0
Maule,MXT-7-180A,0.6666666666666666,0.7999999999999999,8.098415024488063e-05,0.37335762857840676,5.0
McDonnell Douglas,DC-9-51,0.5425531914893617,1.0,2.699471674829355e-05,0.4829868218192798,94.0
McDonnell Douglas,MD-88,1.0,0.3,0.00018192844147968466,0.0900545785324439,148.0
Mcdonald Douglas,DC-10,1.0,0.7,2.699471674829355e-05,0.2100080984150245,136.0
Mcdonnell Douglas,DC-10-10,0.8452380952380952,0.3,2.699471674829355e-05,0.1519128603197864,168.0
Mcdonnell Douglas,DC-10-30,0.7536917479255854,0.6,0.0006807589081805217,0.27872752850222,1534.0
Mcdonnell Douglas,DC-10-30F,1.0,0.3,0.00018192844147968466,0.0900545785324439,393.0
Mcdonnell Douglas,DC-10-40F,1.0,0.7,2.699471674829355e-05,0.2100080984150245,5.0
Mcdonnell Douglas,DC-9-15,1.0,0.5,0.00018192844147968466,0.1500545785324439,75.0
Mcdonnell Douglas,DC-9-41,0.9866666666666667,0.5,2.699471674829355e-05,0.15534143174835782,75.0
Mcdonnell Douglas,DC-9-51,0.9724137931034482,0.6,0.0002089231582279782,0.1910971597060891,167.0
Mcdonnell Douglas,DC-9-82,1.0,0.5666666666666667,0.00023591787497627176,0.1700707753624929,399.0
Mcdonnell Douglas,DC-9-82 (MD-82),1.0,0.7,2.699471674829355e-05,0.2100080984150245,143.0
Mcdonnell Douglas,DC-9-83,0.9824561403508771,0.5,2.699471674829355e-05,0.15702564227467364,114.0
Mcdonnell Douglas,DC9,0.9777777777777777,0.7,2.699471674829355e-05,0.21889698730391338,45.0
Mcdonnell Douglas,MD 83,1.0,0.7,2.699471674829355e-05,0.2100080984150245,501.0
Mcdonnell Douglas,MD-11,0.5461356466876972,0.5875,0.0008356926329119128,0.3580464491147947,985.0
Mcdonnell Douglas,MD-80,1.0,0.7,2.699471674829355e-05,0.2100080984150245,153.0
Mcdonnell Douglas,MD-81,1.0,0.3,2.699471674829355e-05,0.09000809841502448,135.0
